brand,PrintvsDigi,sub_type,pricecat,flow_type,flow_direction,exog,exog_pricecat,exog_flow,exog_lag,model,comment
DS,Print,Fractions,BASE,Switchers,Outflow,,,,,,
DS,Print,Fractions,BASE,Active,Total,,,,,pm,
DS,Print,Fractions,PROMO,Regular,Inflow,,,,,,
DS,Print,Fractions,PROMO,Regular,Outflow,,,,,,
DS,Print,Fractions,PROMO,Transformers,Inflow,,,,,,
DS,Print,Fractions,PROMO,Transformers,Outflow,,,,,,
DS,Print,Fractions,PROMO,Switchers,Inflow,,,,,,
DS,Print,Fractions,PROMO,Switchers,Outflow,,,,,,
NB,Print,Fractions,BASE,Active,Total,,,,,pm,
NB,Print,Fractions,BASE,Regular,Inflow,,,,,Excluded,
NB,Print,Fractions,BASE,Regular,Outflow,,,,,Excluded,
NB,Print,Fractions,BASE,Transformers,Inflow,,,,,Excluded,
NB,Print,Fractions,BASE,Transformers,Outflow,,,,,Excluded,
NB,Print,Fractions,BASE,Switchers,Inflow,,,,,Excluded,
NB,Print,Fractions,BASE,Switchers,Outflow,,,,,Excluded,
NB,Print,Fractions,PROMO,Regular,Inflow,,,,,Excluded,
NB,Print,Fractions,PROMO,Regular,Outflow,,,,,Excluded,
NB,Print,Fractions,PROMO,Transformers,Inflow,,,,,Excluded,
NB,Print,Fractions,PROMO,Transformers,Outflow,,,,,Excluded,
NB,Print,Fractions,PROMO,Switchers,Inflow,,,,,Excluded,
NB,Print,Fractions,PROMO,Switchers,Outflow,,,,,Excluded,
DS,Digi,PLUS,BASE,Regular,Inflow,campaigns,BASE,inflow,0,statsmodels,
DS,Digi,PLUS,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,pm,
DS,Digi,PLUS,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
DS,Digi,PLUS,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,PLUS,BASE,Switchers,Inflow,,,,,statsmodels,
DS,Digi,PLUS,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
DS,Digi,PLUS,PROMO,Regular,Inflow,campaigns,PROMO,inflow,0,pm,
DS,Digi,PLUS,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
DS,Digi,PLUS,PROMO,Transformers,Inflow,,,,,statsmodels,
DS,Digi,PLUS,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,Only outflow that uses lag of 2?
DS,Digi,PLUS,PROMO,Switchers,Inflow,,,,,statsmodels,
DS,Digi,PLUS,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
DS,Digi,PLUS,STUNT,Regular,Inflow,,,,,Excluded,
DS,Digi,PLUS,STUNT,Regular,Outflow,,,,,Excluded,
DS,Digi,PLUS,STUNT,Transformers,Inflow,,,,,Excluded,
DS,Digi,PLUS,STUNT,Transformers,Outflow,,,,,Excluded,
DS,Digi,PLUS,STUNT,Switchers,Inflow,,,,,Excluded,
DS,Digi,PLUS,STUNT,Switchers,Outflow,,,,,Excluded,
NB,Digi,PLUS,BASE,Regular,Inflow,campaigns,BASE,,,statsmodels,
NB,Digi,PLUS,BASE,Regular,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Digi,PLUS,BASE,Transformers,Inflow,other_flow,PROMO,newcheck,2,GLS,
NB,Digi,PLUS,BASE,Transformers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Digi,PLUS,BASE,Switchers,Inflow,,,,,statsmodels,
NB,Digi,PLUS,BASE,Switchers,Outflow,other_flow,BASE,newcheck,0,statsmodels,
NB,Digi,PLUS,PROMO,Regular,Inflow,campaigns,PROMO,,,pm,
NB,Digi,PLUS,PROMO,Regular,Outflow,other_flow,PROMO,newcheck,0,pm,
NB,Digi,PLUS,PROMO,Transformers,Inflow,other_flow,STUNT,newcheck,2,GLS,
NB,Digi,PLUS,PROMO,Transformers,Outflow,other_flow,PROMO,newcheck,2,GLS,
NB,Digi,PLUS,PROMO,Switchers,Inflow,,,,,statsmodels,
NB,Digi,PLUS,PROMO,Switchers,Outflow,other_flow,PROMO,newcheck,0,statsmodels,
